timestamp,open,high,low,close,volume
2023-09-29,148.6,148.76,144.86,145.02,11917826
2023-09-28,146.28,148.87,146.01,147.59,8868063
2023-09-27,145.19,146.09,144.5115,145.78,6717822
2023-09-26,144.6,145.84,144.23,144.93,7468405
2023-09-25,145.35,146.52,143.7,146.45,7044672
2023-09-22,147.29,147.51,145.19,145.73,7071975
2023-09-21,147.58,148.855,146.63,147.14,8053410
2023-09-20,149.65,150.25,148.135,148.3,7334257
2023-09-19,149.5,149.72,147.21,148.93,7945606
2023-09-18,148.16,149.14,147.75,149.12,6512360
2023-09-15,148.92,149.7256,148.31,148.81,19863383
2023-09-14,147.84,149.895,147.52,149.25,10034931
2023-09-13,147.34,147.7,145.82,146.41,8325914
2023-09-12,144.5,147.32,144.05,146.34,8363165
2023-09-11,144.75,145.05,143.69,144.46,6854220
2023-09-08,143.37,144.12,142.65,143.83,7110254
2023-09-07,144.13,145.2683,143.39,143.72,8373738
2023-09-06,144.7,145.54,144.11,144.96,8629164
2023-09-05,147.16,148.2099,145.01,145.2,7854739
2023-09-01,146.09,148.08,145.7,146.82,7903496
2023-08-31,148.26,148.35,145.96,146.33,10933938
2023-08-30,148.62,149.15,147.19,148.16,6277318
2023-08-29,147.71,148.85,147.18,148.76,6336962
2023-08-28,147.57,148.61,147.13,147.56,5094201
2023-08-25,147.28,148.6199,145.85,147.05,6695537
2023-08-24,147.5,149.41,146.9875,147.23,6534026
2023-08-23,146.35,147.585,145.46,147.37,7858021
2023-08-22,149.26,149.6394,145.85,146.38,9681972
2023-08-21,149.65,150.105,148.02,149.48,8327018
2023-08-18,147.65,149.5,147.4437,148.97,8517460
2023-08-17,150.88,151.2622,148.4,148.63,9953912
2023-08-16,150.6,150.96,149.68,150.19,6978235
2023-08-15,152.85,153.2664,150.2301,150.83,10300303
2023-08-14,153.61,154.9178,152.92,154.77,5044282
2023-08-11,153.03,154.52,152.63,154.45,5180690
2023-08-10,154.38,155.44,153.09,153.56,5995076
2023-08-09,155.32,155.52,153.47,153.79,6277813
2023-08-08,154.32,155.98,152.59,155.88,8623379
2023-08-07,156.6,157.7,156.6,156.76,7251832
2023-08-04,156.4,157.8,155.695,156.02,6209397
2023-08-03,155.0,156.92,154.35,156.35,6087542
2023-08-02,155.56,155.69,153.94,155.4,8303708
2023-08-01,157.43,158.0,156.15,157.18,6855682
2023-07-31,157.18,159.38,157.151,157.96,8894353
2023-07-28,157.28,157.6,156.4401,156.91,9105974
2023-07-27,157.77,158.78,155.5538,156.02,10778406
2023-07-26,156.71,158.25,156.275,157.76,8728593
2023-07-25,157.3,157.7198,155.96,156.82,9944679
2023-07-24,154.97,158.785,154.73,158.0,14381425
2023-07-21,155.8,156.14,154.69,154.95,10636378
2023-07-20,154.53,156.59,154.41,156.15,9935907
2023-07-19,152.75,155.205,152.22,154.25,12510000
2023-07-18,153.38,154.4,152.82,153.66,13491725
2023-07-17,150.35,153.75,150.35,153.38,17262394
2023-07-14,151.55,152.89,148.41,149.77,27028429
2023-07-13,148.7,149.37,147.75,148.87,11234925
2023-07-12,147.45,149.87,147.0,148.15,11323228
2023-07-11,146.335,147.82,145.705,147.42,11265592
2023-07-10,144.5,145.99,144.5,145.15,9100060
2023-07-07,143.91,145.8436,143.0,144.34,8981456
2023-07-06,143.02,143.39,141.4401,143.21,9714100
2023-07-05,144.94,145.43,144.36,144.64,8935519
2023-07-03,146.19,147.48,146.0,146.61,8021622
2023-06-30,144.6,146.0,143.66,145.44,14212816
2023-06-29,140.07,143.56,139.85,143.43,15423230
2023-06-28,139.16,139.21,137.96,138.59,7558644
2023-06-27,139.0,139.84,138.54,139.2,8154024
2023-06-26,138.87,140.01,137.69,139.19,8429727
2023-06-23,138.54,139.18,137.62,138.85,9919539
2023-06-22,142.31,142.6,138.95,139.58,10076325
2023-06-21,142.9,144.02,141.691,142.32,9926459
2023-06-20,142.61,143.0,141.04,142.53,8431008
2023-06-16,143.05,143.965,142.5,143.26,13813512
2023-06-15,140.59,143.4,140.03,143.09,9343096
2023-06-14,143.0,143.61,140.7,141.49,9068729
2023-06-13,140.48,142.87,140.14,142.02,7701567
2023-06-12,141.07,141.32,139.76,141.0,7600196
2023-06-09,140.35,141.8,140.21,141.01,7253946
2023-06-08,140.67,140.89,139.4807,140.73,7370043
2023-06-07,139.55,141.27,138.83,140.69,9281389
2023-06-06,138.68,140.1,138.2066,139.34,9329541
2023-06-05,140.11,140.11,138.13,139.09,8511900
2023-06-02,139.56,141.48,139.34,140.47,12922471
2023-06-01,136.52,138.23,135.445,137.58,12248094
2023-05-31,136.73,136.84,134.4044,135.71,13750897
2023-05-30,136.8,137.72,136.02,137.46,7399867
2023-05-26,136.11,137.6,135.63,136.94,8579941
2023-05-25,134.82,136.27,134.58,135.67,8472505
2023-05-24,135.4,136.35,135.08,135.34,8577997
2023-05-23,137.54,139.03,136.455,136.59,9514897
2023-05-22,141.0,141.64,137.66,138.03,11402476
2023-05-19,139.79,140.49,138.125,139.18,13492239
2023-05-18,138.27,139.73,137.76,139.5,10999607
2023-05-17,135.9,138.5899,135.46,138.45,12711522
2023-05-16,135.46,135.9382,133.96,134.32,6483267
2023-05-15,134.27,135.67,133.96,135.23,7639451
2023-05-12,136.82,136.99,133.13,134.1,9988598
2023-05-11,135.0,136.81,134.9,136.05,7057277
2023-05-10,137.95,138.06,134.87,136.48,8133416
